업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,하림한정식,경상북도 김천시 덕곡동 970-4,경상북도 김천시 덕곡동 970-4,,,
,,섬바우,경상북도 김천시 응명동 199-2,경상북도 김천시 응명동 199-2,,,
,,팔공식당,경상북도 김천시 대항면 복전리 548-22,경상북도 김천시 대항면 복전리 548-22,,,
,,함덕식당,경상북도 김천시 용두동,경상북도 김천시 용두동,,,
,,다미분식식당간이음식,경상북도 김천시 부곡동 1419,경상북도 김천시 부곡동 1419,,,
,,놀부부대찌개철판구이 김천점,경상북도 김천시 부곡동 1402,경상북도 김천시 부곡동 1402,,,
,,별나라식당2,경상북도 김천시 부곡동 422-21,경상북도 김천시 부곡동 422-21,,,
,,피자헛,경상북도 김천시 신음동 464-1,경상북도 김천시 신음동 464-1,,,
,,토마토분식,신음동 1272번지 107동 106호 우방1차아파트 김천시 경상북도 KR,신음동 1272번지 107동 106호 우방1차아파트 김천시 경상북도 KR,,,
,,회령식당,경상북도 김천시 감문면 보광리 450-1 감문면 보광리 450-1번지 김천시 경상북도 KR 39512,경상북도 김천시 감문면 보광리 450-1 감문면 보광리 450-1번지 김천시 경상북도 KR 39512,,,
,,홍단,경상북도 김천시 신음동 803-6,경상북도 김천시 신음동 803-6,,,
,,김천시니어클럽마마면,경상북도 김천시 부곡동 1478번지 1층,경상북도 김천시 부곡동 1478번지 1층,,,
,,푸라닭 김천신음점,경상북도 김천시 신음동 989-15,경상북도 김천시 신음동 989-15,,,
,,구미맛집,구미시 선주원남동 원두막,구미시 선주원남동 원두막,,,
,,김천휴게소 서울방향,경상북도 김천시 농소면 경부고속도로 194,경상북도 김천시 농소면 경부고속도로 194,,,
,,마루베이커리 신음점,경상북도 김천시 신음동 464-1,경상북도 김천시 신음동 464-1,,,
,,어무이쌈밥,"10 용전4로1길, 남면 김천시 경상북도","10 용전4로1길, 남면 김천시 경상북도",,,
,,카스테라,신음동 439번지 김천시 경상북도 KR,신음동 439번지 김천시 경상북도 KR,,,
,,선산이조곱창,경상북도 김천시 아포읍 국사리 1030,경상북도 김천시 아포읍 국사리 1030,,,
,,식빵싸부김천점,경상북도 김천시 신음동 991-4,경상북도 김천시 신음동 991-4,,,
,,황금시장,경상북도 김천시 황금동 황금시장3길 11-6,경상북도 김천시 황금동 황금시장3길 11-6,,,
,,토담민속마을,경상북도 김천시 부곡동 1421,경상북도 김천시 부곡동 1421,,,
,,남해물회수산회,경상북도 김천시 신음동 802-5,경상북도 김천시 신음동 802-5,,,
,,계모임,"경상북도 김천시 혁신3로, 15 1층 115호","경상북도 김천시 혁신3로, 15 1층 115호",,,
,,오늘참예쁘다 김천점,경상북도 김천시 교동 구읍길 80,경상북도 김천시 교동 구읍길 80,,,
,,세사리빙김천덕곡점,경상북도 김천시 덕곡동 1172-1,경상북도 김천시 덕곡동 1172-1,,,
,,이까야,경상북도 김천시 신음동 1036-9,경상북도 김천시 신음동 1036-9,,,
,,전선야곡,경상북도 김천시 부곡동 402-1,경상북도 김천시 부곡동 402-1,,,
,,한신포차 김천제일점,경상북도 김천시 신음동 442-21,경상북도 김천시 신음동 442-21,,,
,,로기커피,경상북도 김천시 농소면 신촌길 168,경상북도 김천시 농소면 신촌길 168,,,
,,마루베이커리,경상북도 김천시 대신동 혁신3로 10 율곡식자재마트 1층,경상북도 김천시 대신동 혁신3로 10 율곡식자재마트 1층,,,
,,연화지,경상북도,경상북도,,,
,,엔제리너스 김천신음점,경상북도 김천시 신음동 424-2,경상북도 김천시 신음동 424-2,,,
,,태평양 수산,경상북도 김천시 부곡동,경상북도 김천시 부곡동,,,
,,파리바게트 김천현대점,경상북도 김천시 신음동 394-4,경상북도 김천시 신음동 394-4,,,
,,스토리샌드샵김천평화점,평화동 19-1번지 평ㅎ하 김천시 경상북도 KR,평화동 19-1번지 평ㅎ하 김천시 경상북도 KR,,,
